link,title,description
http://arxiv.org/abs/1903.11593,What does AI see? Deep segmentation networks discover biomarkers for lung cancer survival. (arXiv:1903.11593v1 [eess.IV]),"<p>Non-small-cell lung cancer (NSCLC) represents approximately 80-85% of lung
cancer diagnoses and is the leading cause of cancer-related death worldwide.
Recent studies indicate that image-based radiomics features from positron
emission tomography-computed tomography (PET/CT) images have predictive power
on NSCLC outcomes. To this end, easily calculated functional features such as
the maximum and the mean of standard uptake value (SUV) and total lesion
glycolysis (TLG) are most commonly used for NSCLC prognostication, but their
prognostic value remains controversial. Meanwhile, convolutional neural
networks (CNN) are rapidly emerging as a new premise for cancer image analysis,
with significantly enhanced predictive power compared to other hand-crafted
radiomics features. Here we show that CNN trained to perform the tumor
segmentation task, with no other information than physician contours, identify
a rich set of survival-related image features with remarkable prognostic value.
In a retrospective study on 96 NSCLC patients before stereotactic-body
radiotherapy (SBRT), we found that the CNN segmentation algorithm (U-Net)
trained for tumor segmentation in PET/CT images, contained features having
strong correlation with 2- and 5-year overall and disease-specific survivals.
The U-net algorithm has not seen any other clinical information (e.g. survival,
age, smoking history) than the images and the corresponding tumor contours
provided by physicians. Furthermore, through visualization of the U-Net, we
also found convincing evidence that the regions of progression appear to match
with the regions where the U-Net features identified patterns that predicted
higher likelihood of death. We anticipate our findings will be a starting point
for more sophisticated non-intrusive patient specific cancer prognosis
determination.
</p>
"
http://arxiv.org/abs/1903.11596,Detecting service provider alliances. (arXiv:1903.11596v1 [cs.GT]),"<p>We present an algorithm for detecting service provider alliances. To perform
this, we modelize a cooperative game-theoretic model for competitor service
providers. A choreography (a peer-to-peer service composition model) needs a
set of services to fulfill its requirements. Users must choose, for each
requirement, which service providers will be used to enact the choreography at
lowest cost. Due to the lack of centralization, vendors can form alliances to
control the market. We propose a novel algorithm capable of detecting alliances
among service providers, based on our findings showing that this game has an
empty core, but a non-empty bargaining set.
</p>
"
http://arxiv.org/abs/1903.11598,A Simple Haploid-Diploid Evolutionary Algorithm. (arXiv:1903.11598v1 [cs.NE]),"<p>It has recently been suggested that evolution exploits a form of fitness
landscape smoothing within eukaryotic sex due to the haploid-diploid cycle.
This short paper presents a simple modification to the standard evolutionary
computing algorithm to similarly benefit from the process. Using the well-known
NK model of fitness landscapes it is shown that the benefit emerges as
ruggedness is increased.
</p>
"
http://arxiv.org/abs/1903.11621,Self-adaptive decision-making mechanisms to balance the execution of multiple tasks for a multi-robots team. (arXiv:1903.11621v1 [cs.RO]),"<p>This work addresses the coordination problem of multiple robots with the goal
of finding specific hazardous targets in an unknown area and dealing with them
cooperatively. The desired behaviour for the robotic system entails multiple
requirements, which may also be conflicting. The paper presents the problem as
a constrained bi-objective optimization problem in which mobile robots must
perform two specific tasks of exploration and at same time cooperation and
coordination for disarming the hazardous targets. These objectives are opposed
goals, in which one may be favored, but only at the expense of the other.
Therefore, a good trade-off must be found. For this purpose, a nature-inspired
approach and an analytical mathematical model to solve this problem considering
a single equivalent weighted objective function are presented. The results of
proposed coordination model, simulated in a two dimensional terrain, are showed
in order to assess the behaviour of the proposed solution to tackle this
problem. We have analyzed the performance of the approach and the influence of
the weights of the objective function under different conditions: static and
dynamic. In this latter situation, the robots may fail under the stringent
limited budget of energy or for hazardous events. The paper concludes with a
critical discussion of the experimental results.
</p>
"
http://arxiv.org/abs/1903.11626,Bridging Adversarial Robustness and Gradient Interpretability. (arXiv:1903.11626v1 [cs.LG]),"<p>Adversarial training is a training scheme designed to counter adversarial
attacks by augmenting the training dataset with adversarial examples.
Surprisingly, several studies have observed that loss gradients from
adversarially trained DNNs are visually more interpretable than those from
standard DNNs. Although this phenomenon is interesting, there are only few
works that have offered an explanation. In this paper, we attempted to bridge
this gap between adversarial robustness and gradient interpretability. To this
end, we identified that loss gradients from adversarially trained DNNs align
better with human perception because adversarial training restricts gradients
closer to the image manifold. We then demonstrated that adversarial training
causes loss gradients to be quantitatively meaningful. Finally, we showed that
under the adversarial training framework, there exists an empirical trade-off
between test accuracy and loss gradient interpretability and proposed two
potential approaches to resolving this trade-off.
</p>
"
http://arxiv.org/abs/1903.11633,Laplace Landmark Localization. (arXiv:1903.11633v1 [cs.CV]),"<p>Landmark localization in images and videos is a classic problem solved in
various ways. Nowadays, with deep networks prevailing throughout machine
learning, there are revamped interests in pushing facial landmark detection
technologies to handle more challenging data. Most efforts use network
objectives based on L1 or L2 norms, which have several disadvantages. First of
all, the locations of landmarks are determined from generated heatmaps (i.e.,
confidence maps) from which predicted landmark locations (i.e., the means) get
penalized without accounting for the spread: a high scatter corresponds to low
confidence and vice-versa. For this, we introduce a LaplaceKL objective that
penalizes for a low confidence. Another issue is a dependency on labeled data,
which are expensive to obtain and susceptible to error. To address both issues
we propose an adversarial training framework that leverages unlabeled data to
improve model performance. Our method claims state-of-the-art on all of the
300W benchmarks and ranks second-to-best on the Annotated Facial Landmarks in
the Wild (AFLW) dataset. Furthermore, our model is robust with a reduced size:
1/8 the number of channels (i.e., 0.0398MB) is comparable to state-of-that-art
in real-time on CPU. Thus, we show that our method is of high practical value
to real-life application.
</p>
"
http://arxiv.org/abs/1903.11635,Fourier Entropy-Influence Conjecture for Random Linear Threshold Functions. (arXiv:1903.11635v1 [cs.CC]),"<p>The Fourier-Entropy Influence (FEI) Conjecture states that for any Boolean
function $f:\{+1,-1\}^n \to \{+1,-1\}$, the Fourier entropy of $f$ is at most
its influence up to a universal constant factor. While the FEI conjecture has
been proved for many classes of Boolean functions, it is still not known
whether it holds for the class of Linear Threshold Functions. A natural
question is: Does the FEI conjecture hold for a `random' linear threshold
function? In this paper, we answer this question in the affirmative. We
consider two natural distributions on the weights defining a linear threshold
function, namely uniform distribution on $[-1,1]$ and Normal distribution.
</p>
"
http://arxiv.org/abs/1903.11640,Fundamental Limits of Covert Packet Insertion. (arXiv:1903.11640v1 [cs.CR]),"<p>Covert communication conceals the existence of the transmission from a
watchful adversary. We consider the fundamental limits for covert
communications via packet insertion over packet channels whose packet timings
are governed by a renewal process of rate $\lambda$. Authorized transmitter
Jack sends packets to authorized receiver Steve, and covert transmitter Alice
wishes to transmit packets to covert receiver Bob without being detected by
watchful adversary Willie. Willie cannot authenticate the source of the
packets. Hence, he looks for statistical anomalies in the packet stream from
Jack to Steve to attempt detection of unauthorized packet insertion. First, we
consider a special case where the packet timings are governed by a Poisson
process and we show that Alice can covertly insert $\mathcal{O}(\sqrt{\lambda
T})$ packets for Bob in a time interval of length $T$; conversely, if Alice
inserts $\omega(\sqrt{\lambda T})$, she will be detected by Willie with high
probability. Then, we extend our results to general renewal channels and show
that in a stream of $N$ packets transmitted by Jack, Alice can covertly insert
$\mathcal{O}(\sqrt{N})$ packets; if she inserts $\omega(\sqrt{N})$ packets, she
will be detected by Willie with high probability.
</p>
"
http://arxiv.org/abs/1903.11649,Align2Ground: Weakly Supervised Phrase Grounding Guided by Image-Caption Alignment. (arXiv:1903.11649v1 [cs.CV]),"<p>We address the problem of grounding free-form textual phrases by using weak
supervision from image-caption pairs. We propose a novel end-to-end model that
uses caption-to-image retrieval as a `downstream' task to guide the process of
phrase localization. Our method, as a first step, infers the latent
correspondences between regions-of-interest (RoIs) and phrases in the caption
and creates a discriminative image representation using these matched RoIs. In
a subsequent step, this (learned) representation is aligned with the caption.
Our key contribution lies in building this `caption-conditioned' image encoding
which tightly couples both the tasks and allows the weak supervision to
effectively guide visual grounding. We provide an extensive empirical and
qualitative analysis to investigate the different components of our proposed
model and compare it with competitive baselines. For phrase localization, we
report an improvement of 4.9% (absolute) over the prior state-of-the-art on the
VisualGenome dataset. We also report results that are at par with the
state-of-the-art on the downstream caption-to-image retrieval task on COCO and
Flickr30k datasets.
</p>
"
http://arxiv.org/abs/1903.11650,Lens-based Millimeter Wave Reconfigurable Antenna NOMA. (arXiv:1903.11650v1 [cs.IT]),"<p>This paper proposes a new multiple access technique based on the millimeter
wave lens-based reconfigurable antenna systems. In particular, to support a
large number of groups of users with different angles of departures (AoDs), we
integrate recently proposed reconfigurable antenna multiple access (RAMA) into
non-orthogonal multiple access (NOMA). The proposed technique, named
reconfigurable antenna NOMA (RA-NOMA), divides the users with respect to their
AoDs and channel gains. Users with different AoDs and comparable channel gains
are served via RAMA while users with the same AoDs but different channel gains
are served via NOMA. This technique results in the independence of the number
of radio frequency chains from the number of NOMA groups. Further, we derive
the feasibility conditions and show that the power allocation for RA-NOMA is a
convex problem. We then derive the maximum achievable sum-rate of RA-NOMA.
Simulation results show that RA-NOMA outperforms conventional orthogonal
multiple access (OMA) as well as the combination of RAMA with the OMA
techniques.
</p>
"
